metrica,marca,fbref,nota
Goles a favor,69,69,Coincide
Goles en contra,50,50,Coincide
Posesion (%),52,51.9,Coincide
Tiros totales,432,595,Marca subcuenta 163 tiros
Tiros a puerta,216,215,Coincide
Tiros totales recibidos,441,440,Coincide
Tiros a puerta recibidos,143,141,Coincide
Faltas cometidas,223,390,Marca subcuenta 167 faltas
Faltas recibidas,394,394,Coincide
Fueras de juego,52,52,Coincide
Entradas ganadas,410,406,Coincide
Tarjetas amarillas,62,64,Criterio de doble amarilla
Asistencias de gol,46,46,Coincide
Penaltis a favor,6,6,Coincide
Penaltis marcados,4,4,Coincide
