team,players_used,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,own_goals
vs Arsenal,25,38.0,72,2,1,418,379,25,498,300,359,4
vs Aston Villa,30,38.0,90,2,0,493,373,109,674,353,416,3
vs Bournemouth,26,38.0,70,4,0,398,445,44,656,242,399,1
vs Brentford,26,38.0,74,1,1,354,377,38,727,280,383,2
vs Brighton,28,38.0,77,1,0,382,436,54,587,331,353,1
vs Burnley,28,38.0,47,1,1,348,376,56,820,304,391,3
vs Chelsea,30,38.0,85,3,2,463,408,53,586,319,374,1
vs Crystal Palace,30,38.0,68,4,2,371,373,56,702,302,292,1
vs Everton,22,38.0,61,0,0,422,392,41,690,271,389,2
vs Fulham,24,38.0,63,4,0,375,397,99,653,310,325,4
vs Leeds United,24,38.0,67,1,0,427,382,81,771,253,361,1
vs Liverpool,24,38.0,81,5,3,404,372,59,605,345,374,2
vs Manchester City,27,38.0,78,2,0,426,357,111,492,314,461,3
vs Manchester Utd,27,38.0,77,5,1,414,377,63,734,349,344,3
vs Newcastle,26,38.0,91,2,0,454,362,44,626,335,386,0
vs Nottingham,31,38.0,68,1,1,436,386,37,688,331,374,1
vs Sunderland,29,38.0,74,2,1,423,392,44,813,259,318,4
vs Tottenham,31,38.0,70,1,0,392,447,67,669,300,460,1
vs West Ham,32,38.0,75,0,0,405,402,43,882,256,370,2
vs Wolves,31,38.0,64,3,1,412,483,50,794,312,365,1
