team,players_used,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,own_goals
Arsenal,25,38.0,51,0,0,391,408,61,679,259,332,1
Aston Villa,30,38.0,58,1,0,379,471,43,605,223,347,1
Bournemouth,26,38.0,88,2,0,458,384,70,727,341,378,3
Brentford,26,38.0,69,1,0,390,339,58,679,318,331,3
Brighton,28,38.0,86,0,0,453,369,64,714,311,409,4
Burnley,28,38.0,66,3,1,392,333,56,516,344,363,4
Chelsea,30,38.0,98,8,4,419,445,58,677,358,340,1
Crystal Palace,30,38.0,76,2,1,398,356,71,604,305,411,2
Everton,22,38.0,74,4,1,409,405,53,672,303,403,1
Fulham,24,38.0,75,1,0,414,361,67,684,315,383,3
Leeds United,24,38.0,64,1,1,398,416,60,677,338,394,1
Liverpool,24,38.0,57,1,0,384,387,76,762,250,307,0
Manchester City,27,38.0,67,0,0,367,413,44,623,293,336,0
Manchester Utd,27,38.0,64,3,1,390,394,52,639,310,406,2
Newcastle,26,38.0,67,3,2,385,440,49,876,259,349,2
Nottingham,31,38.0,60,1,0,406,422,60,826,290,385,3
Sunderland,29,38.0,82,3,0,407,407,56,613,295,356,2
Tottenham,31,38.0,101,4,1,462,378,58,762,310,446,0
West Ham,32,38.0,69,3,1,421,385,65,638,341,403,3
Wolves,31,38.0,80,3,1,494,403,53,694,303,415,4
