team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
Arsenal,25,26.1,43.6,38,418,3420,38.0,26,15,41,26,0,0,72,2,0.68,0.39,1.08,0.68,1.08
Aston Villa,30,26.0,46.3,38,418,3420,38.0,48,30,78,47,1,2,90,2,1.26,0.79,2.05,1.24,2.03
Bournemouth,26,26.2,49.9,38,418,3420,38.0,51,31,82,45,6,6,70,4,1.34,0.82,2.16,1.18,2.00
Brentford,26,26.3,52.5,38,418,3420,38.0,49,30,79,44,5,8,74,1,1.29,0.79,2.08,1.16,1.95
Brighton,28,26.1,46.1,38,418,3420,38.0,42,30,72,37,5,6,77,1,1.11,0.79,1.89,0.97,1.76
Burnley,28,26.1,57.5,38,418,3420,38.0,71,46,117,64,7,8,47,1,1.87,1.21,3.08,1.68,2.89
Chelsea,30,26.3,42.3,38,418,3420,38.0,51,39,90,49,2,2,85,3,1.34,1.03,2.37,1.29,2.32
Crystal Palace,30,26.2,54.1,38,418,3420,38.0,49,30,79,44,5,7,68,4,1.29,0.79,2.08,1.16,1.95
Everton,22,26.0,56.2,38,418,3420,38.0,49,42,91,46,3,4,61,0,1.29,1.11,2.39,1.21,2.32
Fulham,24,26.1,48.3,38,418,3420,38.0,48,37,85,45,3,4,63,4,1.26,0.97,2.24,1.18,2.16
Leeds United,24,26.1,54.3,38,418,3420,38.0,55,38,93,49,6,6,67,1,1.45,1.00,2.45,1.29,2.29
Liverpool,24,26.2,40.7,38,418,3420,38.0,53,33,86,50,3,4,81,5,1.39,0.87,2.26,1.32,2.18
Manchester City,27,26.2,39.3,38,418,3420,38.0,35,20,55,34,1,2,78,2,0.92,0.53,1.45,0.89,1.42
Manchester Utd,27,26.1,48.1,38,418,3420,38.0,48,31,79,44,4,4,77,5,1.26,0.82,2.08,1.16,1.97
Newcastle,26,26.0,47.5,38,418,3420,38.0,53,33,86,48,5,5,91,2,1.39,0.87,2.26,1.26,2.13
Nottingham,31,26.3,53.2,38,418,3420,38.0,48,34,82,43,5,6,68,1,1.26,0.89,2.16,1.13,2.03
Sunderland,29,26.3,55.1,38,418,3420,38.0,46,36,82,44,2,3,74,2,1.21,0.95,2.16,1.16,2.11
Tottenham,31,26.3,49.6,38,418,3420,38.0,57,42,99,54,3,3,70,1,1.50,1.11,2.61,1.42,2.53
West Ham,32,26.2,57.4,38,418,3420,38.0,62,42,104,56,6,7,75,0,1.63,1.11,2.74,1.47,2.58
Wolves,31,26.2,57.2,38,418,3420,38.0,64,50,114,59,5,5,64,3,1.68,1.32,3.00,1.55,2.87
