team,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,pens_made,pens_att
Arsenal,25,38.0,26,310,90,29.0,8.16,2.37,0.08,0.29,0,0
Aston Villa,30,38.0,48,490,168,34.3,12.89,4.42,0.10,0.28,1,2
Bournemouth,26,38.0,51,480,162,33.8,12.63,4.26,0.09,0.28,6,6
Brentford,26,38.0,49,504,162,32.1,13.26,4.26,0.09,0.27,5,8
Brighton,28,38.0,42,444,148,33.3,11.68,3.89,0.08,0.25,5,6
Burnley,28,38.0,71,636,216,34.0,16.74,5.68,0.10,0.30,7,8
Chelsea,30,38.0,51,416,160,38.5,10.95,4.21,0.12,0.31,2,2
Crystal Palace,30,38.0,49,445,162,36.4,11.71,4.26,0.10,0.27,5,7
Everton,22,38.0,49,531,158,29.8,13.97,4.16,0.09,0.29,3,4
Fulham,24,38.0,48,448,149,33.3,11.79,3.92,0.10,0.30,3,4
Leeds United,24,38.0,55,476,162,34.0,12.53,4.26,0.10,0.30,6,6
Liverpool,24,38.0,53,435,153,35.2,11.45,4.03,0.11,0.33,3,4
Manchester City,27,38.0,35,369,127,34.4,9.71,3.34,0.09,0.27,1,2
Manchester Utd,27,38.0,48,440,141,32.0,11.58,3.71,0.10,0.31,4,4
Newcastle,26,38.0,53,469,167,35.6,12.34,4.39,0.10,0.29,5,5
Nottingham,31,38.0,48,505,162,32.1,13.29,4.26,0.09,0.27,5,6
Sunderland,29,38.0,46,540,169,31.3,14.21,4.45,0.08,0.26,2,3
Tottenham,31,38.0,57,467,152,32.5,12.29,4.00,0.12,0.36,3,3
West Ham,32,38.0,62,564,194,34.4,14.84,5.11,0.10,0.29,6,7
Wolves,31,38.0,64,527,179,34.0,13.87,4.71,0.11,0.33,5,5
