player,position,games,minutes,minutes_per_game,minutes_pct,games_starts,games_complete,games_subs,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90
Luke Shaw,DF,38,3219,85,94.1,38,23,0,0,1.87,66,45,21,0.59
Bruno Fernandes,MF,35,3063,88,89.6,35,29,0,0,1.89,66,46,20,0.59
Casemiro,MF,34,2571,76,75.2,33,13,1,0,1.97,55,31,24,0.84
Senne Lammens,GK,32,2880,90,84.2,32,32,0,3,2.00,62,39,23,0.72
Bryan Mbeumo,MFFW,33,2609,79,76.3,31,13,2,0,1.97,57,36,21,0.72
Diogo Dalot,DFMF,34,2614,77,76.4,29,22,5,1,1.88,58,40,18,0.62
Matheus Cunha,MFFW,33,2494,76,72.9,29,16,4,1,1.88,48,35,13,0.47
Amad Diallo,MF,32,2341,73,68.5,27,17,5,0,2.03,52,33,19,0.73
Harry Maguire,DF,23,1653,72,48.3,19,13,4,3,2.04,36,19,17,0.93
Leny Yoro,DF,32,1740,54,50.9,18,9,14,5,1.72,28,33,-5,-0.26
Benjamin Šeško,FW,30,1643,55,48.0,17,8,13,1,1.80,37,30,7,0.38
Kobbie Mainoo,MF,28,1662,59,48.6,16,14,12,4,2.21,38,22,16,0.87
Patrick Dorgu,MF,26,1449,56,42.4,15,10,11,2,1.73,22,20,2,0.12
Lisandro Martínez,DF,18,1233,69,36.1,13,11,5,1,1.89,25,15,10,0.73
Matthijs de Ligt,DF,13,1170,90,34.2,13,13,0,0,1.62,21,20,1,0.08
Mason Mount,MF,23,1017,44,29.7,12,3,11,6,1.87,19,15,4,0.35
Noussair Mazraoui,DFMF,20,985,49,28.8,11,3,9,6,2.00,19,10,9,0.82
Ayden Heaven,DF,17,924,54,27.0,11,7,6,21,2.00,20,15,5,0.49
Manuel Ugarte,MF,22,887,40,25.9,8,3,14,15,1.55,12,23,-11,-1.12
Altay Bayındır,GK,6,540,90,15.8,6,6,0,32,1.17,7,11,-4,-0.67
Joshua Zirkzee,FWMF,24,626,26,18.3,5,2,19,12,1.79,9,8,1,0.14
Jack Fletcher,MF,3,108,36,3.2,0,0,3,5,1.33,0,0,0,0.00
Shea Lacey,FW,3,43,14,1.3,0,0,3,11,1.33,0,0,0,0.00
Tyler Fletcher,MF,2,18,9,0.5,0,0,2,12,3.00,0,0,0,0.00
Tyrell Malacia,DF,3,18,6,0.5,0,0,3,25,2.00,0,1,-1,-5.00
Bendito Mantato,MF,1,16,16,0.5,0,0,1,3,1.00,0,0,0,0.00
Tyler Fredricson,DF,1,3,3,0.1,0,0,1,10,3.00,0,0,0,0.00
