player,nationality,position,age,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,own_goals
Luke Shaw,ENG,DF,30,35.8,9,0,0,48,20,0,54,43,45,0
Bruno Fernandes,POR,MF,30,34.0,5,0,0,24,35,4,181,21,35,0
Casemiro,BRA,MF,33,28.6,11,1,1,46,36,5,19,30,45,0
Senne Lammens,BEL,GK,23,32.0,0,0,0,0,4,0,0,0,1,0
Bryan Mbeumo,CMR,MFFW,25,29.0,4,0,0,23,28,7,105,7,11,0
Diogo Dalot,POR,DFMF,26,29.0,5,0,0,25,14,4,57,26,30,0
Matheus Cunha,BRA,MFFW,26,27.7,4,0,0,28,54,2,49,21,23,0
Amad Diallo,CIV,MF,23,26.0,2,0,0,24,38,12,46,15,23,0
Harry Maguire,ENG,DF,32,18.4,3,1,0,16,16,0,4,12,17,0
Leny Yoro,FRA,DF,19,19.3,1,0,0,17,5,2,3,31,20,0
Benjamin Šeško,SVN,FW,22,18.3,2,0,0,17,6,7,2,3,3,0
Kobbie Mainoo,ENG,MF,20,18.5,2,0,0,12,22,1,13,19,20,0
Patrick Dorgu,DEN,MF,20,16.1,5,0,0,23,47,7,57,16,30,0
Lisandro Martínez,ARG,DF,27,13.7,0,1,0,9,2,0,2,12,11,1
Matthijs de Ligt,NED,DF,25,13.0,0,0,0,6,5,0,4,11,13,0
Mason Mount,ENG,MF,26,11.3,2,0,0,17,12,0,22,9,13,0
Noussair Mazraoui,MAR,DFMF,27,10.9,3,0,0,12,14,0,13,11,15,0
Ayden Heaven,ENG,DF,18,10.3,2,0,0,7,9,0,1,1,13,1
Manuel Ugarte,URU,MF,24,9.9,1,0,0,24,15,0,1,20,30,0
Altay Bayındır,TUR,GK,27,6.0,0,0,0,0,3,0,0,0,0,0
Joshua Zirkzee,NED,FWMF,24,7.0,3,0,0,8,6,1,5,1,6,0
Jack Fletcher,ENG,MF,18,1.2,0,0,0,2,1,0,0,1,1,0
Shea Lacey,ENG,FW,18,0.5,0,0,0,2,2,0,0,0,0,0
Tyler Fletcher,SCO,MF,18,0.2,0,0,0,0,0,0,0,0,0,0
Tyrell Malacia,NED,DF,25,0.2,0,0,0,0,0,0,0,0,1,0
Bendito Mantato,ENG,MF,17,0.2,0,0,0,0,0,0,1,0,0,0
Tyler Fredricson,ENG,DF,20,0.0,0,0,0,0,0,0,0,0,0,0
