player,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
Luke Shaw,ENG,DF,30,38,38,3219,35.8,1,1,2,1,0,0,9,0,0.03,0.03,0.06,0.03,0.06
Bruno Fernandes,POR,MF,30,35,35,3063,34.0,9,21,30,5,4,6,5,0,0.26,0.62,0.88,0.15,0.76
Casemiro,BRA,MF,33,34,33,2571,28.6,9,2,11,9,0,0,11,1,0.32,0.07,0.39,0.32,0.39
Senne Lammens,BEL,GK,23,32,32,2880,32.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Bryan Mbeumo,CMR,MFFW,25,33,31,2609,29.0,11,3,14,11,0,0,4,0,0.38,0.10,0.48,0.38,0.48
Diogo Dalot,POR,DFMF,26,34,29,2614,29.0,1,3,4,1,0,0,5,0,0.03,0.10,0.14,0.03,0.14
Matheus Cunha,BRA,MFFW,26,33,29,2494,27.7,10,2,12,10,0,0,4,0,0.36,0.07,0.43,0.36,0.43
Amad Diallo,CIV,MF,23,32,27,2341,26.0,2,3,5,2,0,0,2,0,0.08,0.12,0.19,0.08,0.19
Harry Maguire,ENG,DF,32,23,19,1653,18.4,1,2,3,1,0,0,3,1,0.05,0.11,0.16,0.05,0.16
Leny Yoro,FRA,DF,19,32,18,1740,19.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Benjamin Šeško,SVN,FW,22,30,17,1643,18.3,11,1,12,11,0,0,2,0,0.60,0.05,0.66,0.60,0.66
Kobbie Mainoo,ENG,MF,20,28,16,1662,18.5,1,2,3,1,0,0,2,0,0.05,0.11,0.16,0.05,0.16
Patrick Dorgu,DEN,MF,20,26,15,1449,16.1,4,4,8,4,0,0,5,0,0.25,0.25,0.50,0.25,0.50
Lisandro Martínez,ARG,DF,27,18,13,1233,13.7,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00
Matthijs de Ligt,NED,DF,25,13,13,1170,13.0,1,0,1,1,0,0,0,0,0.08,0.00,0.08,0.08,0.08
Mason Mount,ENG,MF,26,23,12,1017,11.3,3,0,3,3,0,0,2,0,0.27,0.00,0.27,0.27,0.27
Noussair Mazraoui,MAR,DFMF,27,20,11,985,10.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Ayden Heaven,ENG,DF,18,17,11,924,10.3,0,1,1,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10
Manuel Ugarte,URU,MF,24,22,8,887,9.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Altay Bayındır,TUR,GK,27,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Joshua Zirkzee,NED,FWMF,24,24,5,626,7.0,2,1,3,2,0,0,3,0,0.29,0.14,0.43,0.29,0.43
Jack Fletcher,ENG,MF,18,3,0,108,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Shea Lacey,ENG,FW,18,3,0,43,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Tyler Fletcher,SCO,MF,18,2,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Tyrell Malacia,NED,DF,25,3,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Bendito Mantato,ENG,MF,17,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Tyler Fredricson,ENG,DF,20,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
